Sıra No,Symbol,Bülten Adı
1,AKSA,AKSA
2,AKSEN,AKSA ENERJI
3,ALBRK,ALBARAKA TURK
4,ALKIM,ALKIM KIMYA
5,ARDYZ,ARD BILISIM TEKNOLOJILERI
6,ASELS,ASELSAN
7,BASGZ,BASKENT DOGALGAZ GMYO
8,BERA,BERA HOLDING
9,BIMAS,BIM MAGAZALAR
10,BIOEN,BIOTREND CEVRE VE ENERJI
11,BUCIM,BURSA CIMENTO
12,CEMAS,CEMAS DOKUM
13,CEMTS,CEMTAS
14,CIMSA,CIMSA
15,DOAS,DOGUS OTOMOTIV
16,EGEEN,EGE ENDUSTRI
17,EREGL,EREGLI DEMIR CELIK
18,GWIND,GALATA WIND ENERJI
19,GENIL,GEN ILAC
20,GESAN,GIRISIM ELEKTRIK SANAYI
21,GOZDE,GOZDE GIRISIM
22,GUBRF,GUBRE FABRIK.
23,ISDMR,ISKENDERUN DEMIR CELIK
24,JANTS,JANTSA JANT SANAYI
25,KRDMD,KARDEMIR (D)
26,KCAER,KOCAER CELIK
27,KONTR,KONTROLMATIK TEKNOLOJI
28,KORDS,KORDSA TEKNIK TEKSTIL
29,MAVI,MAVI GIYIM
30,ODAS,ODAS ELEKTRIK
31,OTKAR,OTOKAR
32,OYAKC,OYAK CIMENTO
33,OZKGY,OZAK GMYO
34,PSGYO,PASIFIK GMYO
35,PGSUS,PEGASUS
36,QUAGR,QUA GRANITE HAYAL YAPI
37,SASA,SASA POLYESTER
38,SELEC,SELCUK ECZA DEPOSU
39,SNGYO,SINPAS GMYO
40,SMRTG,SMART GUNES ENERJISI TEK.
41,TKNSA,TEKNOSA IC VE DIS TICARET
42,TUKAS,TUKAS
43,TMSN,TUMOSAN MOTOR VE TRAKTOR
44,TUPRS,TUPRAS
45,THYAO,TURK HAVA YOLLARI
46,TRILC,TURK ILAC SERUM
47,PRKAB,TURK PRYSMIAN KABLO
48,TTRAK,TURK TRAKTOR
49,VESBE,VESTEL BEYAZ ESYA
50,YYLGD,YAYLA GIDA
